repo id                                                                   status
rock-testing-x86_64-restricted-debuginfo                                  disabled
rock-testing-x86_64-restricted-source                                     disabled
rock-testing-x86_64-source                                                disabled
rock-testing-x86_64-unsupported                                           disabled
rock-testing-x86_64-unsupported-debuginfo                                 disabled
rock-testing-x86_64-unsupported-source                                    disabled
rock-updates-i686                                                         disabled
rock-updates-i686-debuginfo                                               disabled
rock-updates-i686-non-free                                                disabled
rock-updates-i686-non-free-debuginfo                                      disabled
rock-updates-i686-non-free-source                                         disabled
rock-updates-i686-restricted                                              disabled
rock-updates-i686-restricted-debuginfo                                    disabled
rock-updates-i686-restricted-source                                       disabled
rock-updates-i686-source                                                  disabled
rock-updates-i686-unsupported                                             disabled
rock-updates-i686-unsupported-debuginfo                                   disabled
rock-updates-i686-unsupported-source                                      disabled
rock-updates-x86_64                                                       disabled
rock-updates-x86_64-debuginfo                                             disabled
rock-updates-x86_64-non-free                                              disabled
rock-updates-x86_64-non-free-debuginfo                                    disabled
rock-updates-x86_64-non-free-source                                       disabled
rock-updates-x86_64-restricted                                            disabled
rock-updates-x86_64-restricted-debuginfo                                  disabled
rock-updates-x86_64-restricted-source                                     disabled
rock-updates-x86_64-source                                                disabled
rock-updates-x86_64-unsupported                                           disabled
rock-updates-x86_64-unsupported-debuginfo                                 disabled
rock-updates-x86_64-unsupported-source                                    disabled
rock-x86_64                                                               disabled
rock-x86_64-debuginfo                                                     disabled
rock-x86_64-non-free                                                      disabled
rock-x86_64-non-free-debuginfo                                            disabled
rock-x86_64-non-free-source                                               disabled
rock-x86_64-restricted                                                    disabled
rock-x86_64-restricted-debuginfo                                          disabled
rock-x86_64-restricted-source                                             disabled
rock-x86_64-source                                                        disabled
rock-x86_64-unsupported                                                   disabled
rock-x86_64-unsupported-debuginfo                                         disabled
rock-x86_64-unsupported-source                                            disabled
rolling-i686                                                              disabled
rolling-i686-debuginfo                                                    disabled
rolling-i686-non-free                                                     disabled
rolling-i686-non-free-debuginfo                                           disabled
rolling-i686-non-free-source                                              disabled
rolling-i686-restricted                                                   disabled
rolling-i686-restricted-debuginfo                                         disabled
rolling-i686-restricted-source                                            disabled
rolling-i686-source                                                       disabled
rolling-i686-unsupported                                                  disabled
rolling-i686-unsupported-debuginfo                                        disabled
rolling-i686-unsupported-source                                           disabled
rolling-testing-i686                                                      disabled
rolling-testing-i686-debuginfo                                            disabled
rolling-testing-i686-non-free                                             disabled
rolling-testing-i686-non-free-debuginfo                                   disabled
rolling-testing-i686-non-free-source                                      disabled
rolling-testing-i686-restricted                                           disabled
rolling-testing-i686-restricted-debuginfo                                 disabled
rolling-testing-i686-restricted-source                                    disabled
rolling-testing-i686-source                                               disabled
rolling-testing-i686-unsupported                                          disabled
rolling-testing-i686-unsupported-debuginfo                                disabled
rolling-testing-i686-unsupported-source                                   disabled
rolling-testing-x86_64                                                    disabled
rolling-testing-x86_64-debuginfo                                          disabled
rolling-testing-x86_64-non-free                                           disabled
rolling-testing-x86_64-non-free-debuginfo                                 disabled
rolling-testing-x86_64-non-free-source                                    disabled
rolling-testing-x86_64-restricted                                         disabled
rolling-testing-x86_64-restricted-debuginfo                               disabled
rolling-testing-x86_64-restricted-source                                  disabled
rolling-testing-x86_64-source                                             disabled
rolling-testing-x86_64-unsupported                                        disabled
rolling-testing-x86_64-unsupported-debuginfo                              disabled
rolling-testing-x86_64-unsupported-source                                 disabled
rolling-x86_64                                                            disabled
rolling-x86_64-debuginfo                                                  disabled
rolling-x86_64-non-free                                                   disabled
rolling-x86_64-non-free-debuginfo                                         disabled
rolling-x86_64-non-free-source                                            disabled
rolling-x86_64-restricted                                                 disabled
rolling-x86_64-restricted-debuginfo                                       disabled
rolling-x86_64-restricted-source                                          disabled
rolling-x86_64-source                                                     disabled
rolling-x86_64-unsupported                                                disabled
rolling-x86_64-unsupported-debuginfo                                      disabled
rolling-x86_64-unsupported-source                                         disabled
skype-stable                                                              disabled
